Material Type,E (GPa),ν,ρ (kg/m³),Tensile Strength (MPa),Young’s Modulus,Altitude (m),Temperature (°C),Pressure (Pa),Operational Life (years),Wing Span (m),Fuselage Length (m),Structural Thickness (mm),Structural Shape,Load Distribution,Vibration Damping,Computational Time,Weight Efficiency,Durability,Quantum Algorithm Type,Number of Iterations,Optimization Time (sec)
Titanium,163.12294928775628,0.30126109970578324,2170.8433544605896,909.2615728393552,64.41411434892595,6197.414138580061,-49.2075455346522,128914.25648613147,32,30.29136717398812,32.21171982739105,12.118967907711234,Rectangular,uniform,Moderate,Medium,Good,Medium,Chaotic Quantum Genetic,1350,92.44591253858923
Carbon Fiber,124.07665122545002,0.32893581020939155,3999.5069650745954,684.1858643302327,80.27074353339084,15217.69602083406,-46.71645249540837,186377.7591058199,21,52.67688881465139,67.60770061778126,8.150328014686327,Tapered,distributed,Low,Short,Poor,High,Shark Optimizer,1365,124.71678851700949
Aluminum,57.26214531286442,0.33313405784661976,4106.8894617291435,403.6951804141105,58.747872244021636,15493.47937763715,-42.207651651908385,115400.70419731943,31,35.019743601559256,62.619052149578394,8.951652323766794,Tapered,uniform,Low,Short,Poor,High,Chaotic Quantum Genetic,1811,114.77977201388268
Carbon Fiber,179.806790085297,0.31449725982427434,3673.8332285660745,1262.1456347480912,74.31979786798422,10447.365730917183,-50.1853252905379,191436.5860863601,24,46.84923201328618,47.22423838667454,13.331945677199382,Cylindrical,point load,Low,Medium,Poor,Low,Shark Optimizer,640,106.15181505077253
Titanium,147.76877694911695,0.31368561994369654,3738.646001243673,1034.679589037522,87.38104743710042,8957.27656659461,-50.694209202406846,166086.75240033862,25,21.3756835353019,69.44189384744575,13.520506833772721,Cylindrical,distributed,High,Medium,Poor,Low,Shark Optimizer,1689,106.04616787902143
Aluminum,52.174883898308615,0.3053455482679295,2963.2478566728014,1260.4231306899558,82.6413789648906,7744.957008410021,-58.762015592894045,147178.03376333995,33,27.126628484107215,39.40804648774786,6.251924591518111,Tapered,point load,High,Long,Excellent,Medium,Chaotic Quantum Genetic,1965,134.68943585110935
Titanium,184.43893324273958,0.3427247400135462,3081.6114320085817,1012.4114283442904,79.85587036613865,17552.14089531356,-43.21395269339199,173357.29494532978,24,23.833245617461394,58.61892467502662,11.710335336488098,Tapered,point load,Low,Long,Poor,Low,Shark Optimizer,1435,148.7771228636147
Titanium,135.63836284704215,0.3380005478387557,1600.1814750305803,782.2510413637744,91.02812343570162,5654.629158427554,-46.11129129115784,130299.80419475633,37,40.166559348207464,51.838038739461965,10.84089152020642,Cylindrical,distributed,Moderate,Medium,Poor,Medium,Shark Optimizer,846,139.97693553342418
Carbon Fiber,76.79954485132303,0.3350277545428916,2450.1822039189074,1386.9929699618187,82.54336970444888,14703.58215175283,-56.31346256463422,140125.7089955663,30,27.2340450603772,48.920422879043585,7.789585518853858,Cylindrical,uniform,Low,Short,Poor,Low,Shark Optimizer,1907,92.43929081236843
Aluminum,60.48444947107433,0.33504309768839946,2183.992958975346,782.5467882314107,59.85878441448475,7301.053983427482,-53.88347973151224,126736.58702552057,24,54.67517617187244,68.50712184920992,6.0708501885579915,Rectangular,distributed,Moderate,Medium,Excellent,Medium,Chaotic Quantum Genetic,1721,108.49183953081575
Carbon Fiber,90.49154343604896,0.33222096025808984,2208.6714016493424,413.8914061824411,99.39376308501396,12125.377621674106,-44.539279122247294,115139.12207527022,38,39.08638647645702,57.8975503513143,12.206436604463606,Cylindrical,distributed,High,Medium,Poor,Medium,Chaotic Quantum Genetic,524,77.1825197184895
Titanium,91.55282762372312,0.31519326239074646,1529.522483135766,636.3811425366549,54.805216814441465,6550.204949242153,-58.31718693262403,184320.13305422163,23,47.21949681630108,53.47104998593006,12.949744147157727,Rectangular,distributed,Moderate,Long,Good,Medium,Chaotic Quantum Genetic,740,144.65566043534244
Aluminum,85.9902686912848,0.3479715189050339,3964.347313215337,645.2232108471612,92.7477027144372,17429.68411424043,-49.630410373214644,139443.1219999463,37,52.542790082799335,66.65746739575405,14.775731161383984,Cylindrical,uniform,Moderate,Long,Poor,Low,Shark Optimizer,633,131.80829509282373
Carbon Fiber,61.851208160031796,0.31500071203921787,3714.0441049746532,534.1300758827197,95.35821777486544,5376.9094436591495,-43.67594480135925,120686.64921333164,35,50.24890810469663,48.781151674233314,6.738799006066547,Cylindrical,distributed,Moderate,Short,Good,Medium,Shark Optimizer,1394,57.76785847832193
Aluminum,89.98176308928669,0.32693860723453544,2476.648622188361,773.9811560496805,75.97551587432388,8513.151285149126,-41.97345649364107,195790.86991082787,33,52.155499868931926,47.50121353603428,13.533282271009968,Cylindrical,uniform,Moderate,Long,Good,Medium,Shark Optimizer,1926,142.0687875584573
Titanium,114.58792068307095,0.34717988729928595,3548.066634951153,472.26818044919537,60.825413582155406,12397.296734391202,-44.96809602863618,109252.97538818988,35,35.252806652311996,49.52409876357566,6.277228607325734,Cylindrical,uniform,High,Medium,Excellent,Medium,Shark Optimizer,1979,141.38383190273504
Carbon Fiber,133.55386129779845,0.32334833485864556,3610.7854629797057,535.7100344478897,92.02116903033095,5813.421316815419,-49.03787996966923,109574.01124777614,38,48.06791232833086,36.83456013318051,11.127192618083626,Rectangular,point load,Moderate,Short,Good,Low,Chaotic Quantum Genetic,1449,125.03889027541749
Titanium,66.47947743957862,0.34274986274584646,3846.3888902281137,538.455680488003,88.48411659832087,7811.667803370031,-48.7320001610111,155470.41133333242,34,32.09122566917729,44.356764077724236,10.573351661330681,Tapered,distributed,Low,Long,Poor,Low,Chaotic Quantum Genetic,1708,86.59310520121974
Aluminum,77.86174515976937,0.31538870313870704,3896.0462222753663,1163.108793508014,71.04666375140258,18302.015784343395,-57.78311731623569,150027.95122863638,32,32.040264708994044,50.409246614630526,5.260121543019829,Rectangular,uniform,Moderate,Long,Excellent,High,Shark Optimizer,810,98.60631343370214
Aluminum,112.2761561644197,0.31800814427160484,2411.1353541531134,467.4800418816834,88.49263921322083,15107.823364204856,-53.9863382600782,175355.21250206657,27,26.476670055259458,39.535529477919845,6.470289674258533,Rectangular,distributed,Low,Medium,Excellent,Medium,Shark Optimizer,1076,67.4946347328466
Aluminum,187.6444669219642,0.3314288214629405,2791.0183735298915,1414.6902905608565,84.66259471749068,11895.22624081189,-56.49351242659862,151452.58012154154,31,43.61267531111008,36.91962405784078,12.305670374205134,Cylindrical,distributed,Low,Medium,Poor,High,Chaotic Quantum Genetic,1356,112.8758049224953
Titanium,154.13328143134243,0.33111131221019163,2368.758026252045,923.719728572155,67.57499243290658,16940.13352251224,-41.05446756842128,134482.63858802232,34,49.52628463656483,39.02193207855869,13.239061626007185,Tapered,distributed,Moderate,Short,Poor,High,Chaotic Quantum Genetic,1502,90.24037707766176
Titanium,89.77361408449609,0.332432621130794,3367.8961165529226,1435.4026681062542,75.21817109964186,15295.496048689403,-57.47851364286974,151666.24913247133,30,31.814791207783134,69.82145532549033,9.523130203191599,Rectangular,point load,Low,Short,Good,High,Chaotic Quantum Genetic,1402,76.87656310879599
Titanium,197.69307184406665,0.34847870226876165,1570.68586653003,1447.3412947714603,72.6580890863014,17361.399115659715,-48.06052289673833,141548.5735483423,36,40.53832710320906,39.47352070233924,13.26296515992648,Rectangular,point load,Low,Medium,Good,Low,Chaotic Quantum Genetic,1348,83.4801248818049
Titanium,87.51386046381967,0.34323917107856666,1777.3619797734766,1129.8116135539394,66.91209293243304,19384.641940425056,-42.17199580752094,138340.7525779543,36,35.400767712690104,60.68266514096644,5.123799088300558,Cylindrical,uniform,Low,Long,Excellent,High,Chaotic Quantum Genetic,1821,86.73927123073273
Aluminum,174.53868025738296,0.309029096088993,1643.5731187737154,935.3082644773463,58.564197636185405,11611.316386978557,-44.2779567902355,189740.60695258476,31,43.542310762718316,60.699682024753855,9.895327791074955,Cylindrical,distributed,Low,Short,Good,High,Shark Optimizer,1518,124.96019751647364
Titanium,134.69888492674067,0.3431704340349757,3309.188097628775,284.21645523888714,66.05671149485364,9611.413062072319,-57.950069664464536,177773.2469550484,32,32.84500792754571,30.43854297918614,7.940841423962398,Cylindrical,distributed,Moderate,Long,Excellent,Medium,Chaotic Quantum Genetic,594,111.85652966282001
Carbon Fiber,105.16066405920549,0.32772051146388786,3305.2576172329027,268.37133122959466,50.42456767106934,10441.975487963136,-46.75652902792134,103581.23260983427,26,25.39052461488651,37.81677994499889,6.0937220031791615,Rectangular,distributed,Moderate,Medium,Poor,High,Shark Optimizer,1218,84.15458419080369
Aluminum,97.13744338926156,0.33959099806880455,2255.456180250895,553.3538432075684,52.23798856961911,7760.888281471534,-42.99502435634451,147666.85931994775,30,41.19061854781824,51.64792381811826,14.21017510417067,Cylindrical,point load,Low,Long,Poor,Medium,Shark Optimizer,1178,136.4119098818287
Titanium,192.6595686606406,0.3378370964951013,3475.1566421289217,689.3456752618644,93.74280834696685,5147.811439144733,-43.11403607341548,152409.2263032784,35,27.139271591604622,58.04510376678871,7.743057042050042,Cylindrical,point load,High,Medium,Good,High,Shark Optimizer,1971,123.02089026723817
Carbon Fiber,196.68552330675885,0.3112854530417988,2104.677578174032,1349.3894577109115,60.88509182466303,19749.57673470555,-41.159506382576694,152536.9691155363,33,58.506424283069826,64.4285735515553,6.522153852040402,Tapered,uniform,Low,Long,Poor,Low,Chaotic Quantum Genetic,1361,66.391583625597
Aluminum,183.8906167180615,0.30768025250247594,2792.9898542986843,432.0151760907893,64.35188629950419,12449.436906372677,-50.047748024349914,154025.39874271565,25,42.27675846187081,60.388431969762735,5.978819853403826,Cylindrical,point load,Moderate,Short,Poor,Medium,Chaotic Quantum Genetic,1951,114.86525085726123
Aluminum,75.02629862638626,0.303493906873094,3712.984129576242,483.7489935226571,73.50664046847064,13766.919044327262,-56.578325577555596,183421.97472504195,34,53.34371532134881,31.36615983313861,11.065663369285133,Tapered,distributed,Low,Medium,Excellent,Medium,Chaotic Quantum Genetic,941,93.87709462046075
Aluminum,148.17507046870642,0.30343347859179376,4144.1534229696335,889.591682711022,96.17229743492592,9651.934666546655,-42.79316945644997,138332.17240194642,31,48.08123193665104,47.29526449915541,13.135265800208934,Tapered,point load,Moderate,Medium,Excellent,High,Chaotic Quantum Genetic,1012,97.52940579142154
Carbon Fiber,54.47272134203694,0.31775527155064764,3460.8322143698115,1036.8101047882842,83.06447492636715,14440.62966348379,-45.08295472893391,167130.18215741497,24,52.12206225137531,53.64209733938181,14.835461010921428,Rectangular,uniform,Moderate,Short,Good,Low,Shark Optimizer,1029,98.48692606574215
Aluminum,184.26998322860376,0.32969237437234233,3985.231446371762,1206.1870017156148,86.57718037264968,10894.644347613863,-47.022903257793324,155604.47276225704,21,28.629552749952126,59.578394373905454,14.271975743658572,Cylindrical,point load,High,Short,Poor,Low,Shark Optimizer,1239,122.80685546103992
Carbon Fiber,139.02043427925273,0.3250081129516541,4291.927911430152,1130.599677413748,68.50457570204802,5645.495309064314,-48.00680390378453,165496.35507062078,31,22.159731033816257,57.5700005347477,5.350588884653103,Rectangular,uniform,High,Long,Good,Medium,Chaotic Quantum Genetic,916,122.16155333019158
Titanium,121.23889060685343,0.3233584513976819,3048.947946973595,490.7853741011255,82.93802289260796,12672.684476010534,-55.43245509249938,181295.12031100813,36,41.56207083716204,37.952535846738094,11.808620138399139,Rectangular,point load,Low,Medium,Excellent,Medium,Shark Optimizer,1490,52.00685457980736
Carbon Fiber,103.74718622276833,0.31558285347157594,1835.9898025286757,850.2698378048267,90.69701663013859,18223.966410806264,-40.414440592247686,120916.40444077617,23,34.6880037364989,63.0193588779259,7.244540051765682,Rectangular,point load,High,Short,Excellent,Medium,Chaotic Quantum Genetic,829,75.19060715180943
Carbon Fiber,192.59185793082554,0.33329294562810163,2645.173561643849,511.522547469404,56.693247701721454,17944.279026943692,-42.211968491519755,193557.6107908364,21,34.657376347991004,61.20179547270853,7.899245459553135,Tapered,uniform,Moderate,Short,Good,Low,Shark Optimizer,1419,118.47300008219133
Carbon Fiber,53.17476807403847,0.319632638691402,2002.345274060352,535.4901513077143,91.09122148112104,19286.592328659746,-59.66907516208308,150487.07623444742,23,24.257700888603356,65.52094792140119,13.676073300570717,Tapered,distributed,Low,Long,Good,Medium,Chaotic Quantum Genetic,798,130.21788948829868
Carbon Fiber,109.4221612742347,0.321606442736265,2046.8231193278575,705.9309864325063,64.09218413965239,5455.518387373402,-47.4582094452839,173146.81711710396,38,48.53483532809835,57.67071238743965,11.27161216136317,Tapered,point load,Low,Medium,Poor,Low,Chaotic Quantum Genetic,868,147.3923714934731
Carbon Fiber,105.00083187385584,0.338745285280319,4406.600109697671,1309.3483268566483,93.16135003766627,13484.513327977136,-59.974258571539366,149388.18878492917,26,39.81018896151467,66.25991266248322,11.462097690084299,Cylindrical,uniform,Low,Short,Excellent,Medium,Chaotic Quantum Genetic,1085,116.47401671538692
Carbon Fiber,139.12998647371603,0.333578222945554,3872.9331918241382,1130.5249883630433,59.96522904798391,15058.745505322488,-40.781461829059864,164561.10536244523,21,30.311696149100385,66.85171521480873,12.576601361707985,Cylindrical,point load,High,Short,Good,Medium,Chaotic Quantum Genetic,642,108.18021051868077
Titanium,178.34292650583944,0.3285825688928668,4041.218324251428,747.4292689294091,61.04419314308945,15747.358358155669,-59.619443238050074,186124.71965772333,20,43.99388358988678,61.52432363292897,8.986222935906731,Cylindrical,point load,Low,Short,Good,Low,Shark Optimizer,1488,92.13461998585927
Carbon Fiber,89.06488164856773,0.32006218767672806,2265.009788081885,400.53401807257075,89.25179337509009,19360.45310237301,-52.24926922162031,136357.07150351602,35,31.555602869269332,55.4582377628179,12.179902476548945,Tapered,distributed,Moderate,Medium,Good,Low,Shark Optimizer,1593,61.39788768823497
Aluminum,114.08455086521978,0.32858606778014876,2579.618700241688,1096.2366018135808,50.75744203920824,15770.722855352524,-46.777237406433414,162497.42222998396,21,37.26007962902769,58.78784355457558,8.494933543287914,Cylindrical,point load,Moderate,Long,Good,High,Shark Optimizer,1233,91.93645735693049
Carbon Fiber,119.68300207223835,0.31872415997662584,3433.1545782232597,1371.8886537867509,79.76975604944536,6967.806137314897,-55.096142053456326,112462.27200257254,31,22.97038339587685,56.584240315561246,6.375768310642897,Cylindrical,uniform,Moderate,Long,Excellent,Low,Shark Optimizer,1423,148.97420523569332
Carbon Fiber,132.9939949539904,0.34479639069079776,3476.4041108633046,923.2408217418285,67.85569849854267,18175.71287544536,-46.65734817258223,157846.96752188334,31,46.32742730521771,67.2446920235183,10.686985080167831,Cylindrical,distributed,Low,Short,Excellent,Low,Chaotic Quantum Genetic,1802,122.90192889070134
Carbon Fiber,60.62543350660732,0.31598988605433687,2390.486804725004,1056.0027999917515,97.28037847255223,19538.86506732287,-43.711810468025206,173937.42421265919,24,38.40995074675583,53.18993548995866,8.732877172504182,Tapered,uniform,Moderate,Long,Good,High,Shark Optimizer,932,131.91397502133577
Titanium,69.2688454399015,0.3352042186907277,4408.555860765388,423.79333469019167,85.96018534848358,6535.025753933452,-51.49850969731044,182419.4302594776,21,57.02087172437106,69.69072102638613,12.524962426554502,Tapered,point load,High,Short,Poor,Medium,Shark Optimizer,949,56.536142251083575
Titanium,175.7383943982463,0.3497576507072271,1772.625270027273,1450.2706626931445,68.07486412129451,15654.748781061939,-47.82957670374314,103193.68279042256,27,50.343969396526795,33.195537528343834,14.445669216834713,Tapered,distributed,Low,Medium,Good,Low,Chaotic Quantum Genetic,1775,96.96868840261266
Aluminum,92.17369017894106,0.32231219649848636,3547.270666909043,346.72006006272755,64.868176460171,9447.543984281649,-49.20214419374315,128141.72380604527,26,47.3037150671765,63.33195723989284,7.060983369885894,Cylindrical,point load,High,Long,Good,Medium,Chaotic Quantum Genetic,1537,141.12887351646413
Aluminum,194.72876608043916,0.3498260631553911,4387.803113290621,1228.0939581358534,62.68229112749881,9416.925001688753,-48.48670140557605,141100.42942696993,31,48.782923420232535,53.357820390327134,11.49624403543298,Rectangular,distributed,Low,Short,Poor,High,Shark Optimizer,1971,116.59133508826464
Carbon Fiber,166.5605235168601,0.33298603678933925,3292.0130106779766,490.64558064833886,60.72870111858731,7476.652857763972,-47.519886799846894,151279.47781259433,26,32.84029556814817,47.352715240403185,7.615954699090288,Cylindrical,point load,Moderate,Medium,Good,High,Shark Optimizer,1959,141.50475362786983
Carbon Fiber,136.40483856492244,0.33029049320389037,2073.105157809348,517.2042154289202,94.05234441120234,16722.14045369842,-44.43309736464278,129883.17028628067,25,27.749223871916534,36.13515156884917,5.137279504616382,Tapered,point load,Low,Short,Poor,High,Shark Optimizer,1228,106.17100002733649
Aluminum,199.83468375664552,0.3201972263154291,3600.6859324170505,551.4422632033628,90.21923073666188,5548.178019648359,-47.38878647519978,133278.9646866758,39,27.014660007133294,60.866659789775156,10.560645886031729,Cylindrical,uniform,Low,Medium,Good,Medium,Chaotic Quantum Genetic,1633,141.72752839006483
Titanium,63.346614579642875,0.30306911546304,2362.8807754211434,1415.9203545052771,80.5816444772247,17351.474946353977,-40.12230196353694,127459.85686627339,24,40.98467167944583,38.050428347155844,7.273395981229688,Rectangular,uniform,High,Medium,Excellent,Medium,Shark Optimizer,709,146.03254076967374
Aluminum,99.03814614207573,0.32342099098643534,2375.1714757871277,820.7548287633477,72.90320398632147,5932.701076781486,-54.6511846056833,111264.17108280904,38,48.02370098730475,57.00411064767947,12.520428253767896,Rectangular,distributed,High,Medium,Poor,High,Shark Optimizer,1493,70.17661097124184
Titanium,75.40687540540495,0.3315691860783343,2497.8342587290663,957.1279266853898,88.70463096170494,17441.343051357162,-51.20483888905378,163243.3348476423,21,53.414273690914,37.68268911481229,6.887629248729828,Rectangular,distributed,Moderate,Short,Good,High,Chaotic Quantum Genetic,1457,125.32675334813422
Aluminum,68.7646914946048,0.30777658491471355,3897.7519265548394,609.9990607893453,55.79652399971057,6645.951986020225,-48.53260671660293,164627.0929374213,32,57.6371421486691,41.18433305603517,11.440008392983039,Rectangular,uniform,Moderate,Long,Good,Low,Shark Optimizer,738,121.9161392642731
Aluminum,166.84737720236998,0.3283392199423162,4304.190176824549,620.4980214827424,98.27423279229362,16250.081921951974,-40.81208789865232,149185.1709426367,35,25.768483008742148,48.06138969034268,5.228257496224748,Cylindrical,distributed,High,Short,Good,Low,Shark Optimizer,1217,125.02294232646437
Aluminum,120.09837112725617,0.34461568525958663,3213.6706543037108,1175.6269928123868,80.4202971444144,14083.385127608668,-54.26931548662968,131238.0656604902,33,21.578676961160138,36.80120918575558,10.841519321370292,Rectangular,uniform,Moderate,Medium,Excellent,Medium,Chaotic Quantum Genetic,831,64.45477053451731
Aluminum,56.69709945059187,0.3157407303502829,3826.410486284693,1080.9259051090617,58.83589412143627,6590.089848760536,-41.41535206449319,187033.30865202827,23,43.91122127170813,51.11571041122241,7.989444813261352,Tapered,uniform,Moderate,Long,Good,Low,Shark Optimizer,901,63.51697588851752
Aluminum,156.82138309881876,0.3194607261329255,4085.234923360307,627.932083142415,81.56017962943649,6001.6215767873855,-41.11837071458906,164988.11505586968,25,45.98213124519233,60.38292008526929,10.809049344061492,Tapered,point load,High,Long,Good,Medium,Chaotic Quantum Genetic,696,109.09169970740332
Carbon Fiber,187.11271147506574,0.32734695142171216,2643.417414356394,1308.1863690516734,90.79594817589891,18118.679212605603,-42.69021349117605,170333.4083442096,36,52.86001186879699,41.90752235181173,11.133548285596133,Cylindrical,point load,High,Short,Excellent,High,Chaotic Quantum Genetic,970,104.04109691705183
Titanium,71.90895345209883,0.30731456673371693,2162.8354070282476,733.1004411361089,78.28734880971301,19543.093051009295,-40.260691173904554,162301.12833883282,20,25.442045873054994,33.640062870680374,14.621281977080816,Cylindrical,point load,Moderate,Short,Poor,Low,Shark Optimizer,1613,116.92311497595226
Aluminum,126.24244126027871,0.3288802504631441,4171.673435526482,980.478230335445,50.10844500858114,6793.918802491668,-40.409615991806774,147705.58552853926,34,30.91367967753167,63.57714467766531,10.107418686608852,Rectangular,uniform,Low,Medium,Excellent,Medium,Chaotic Quantum Genetic,967,88.67737684798796
Aluminum,132.76809971399786,0.32189780582161676,3417.14160583138,289.5737330236487,83.56722642326741,14121.649937067752,-56.12069347854465,191521.67829782344,24,48.34671037260384,64.10286253273657,7.508791361437304,Tapered,uniform,Moderate,Short,Excellent,High,Chaotic Quantum Genetic,1877,59.83994986148069
Carbon Fiber,87.27337418029798,0.3058619078382297,4495.759088095127,1276.6913647750052,62.477724176645246,6093.353110750253,-47.909534456511075,172851.74463450734,24,49.354744194186964,32.068674111671,11.7714425156925,Cylindrical,distributed,High,Long,Good,Low,Shark Optimizer,1101,112.9440876077484
Titanium,116.9414619999563,0.33933657389100114,2423.07131646441,1343.6407368128528,91.04009236910004,11240.295163927125,-49.4982234096901,180430.24725062805,24,38.69732246117138,30.668971993706606,8.25551629521799,Cylindrical,point load,Moderate,Long,Excellent,Low,Shark Optimizer,1067,88.93385095457998
Aluminum,199.6874303498191,0.3047197704719732,4424.727677117145,558.644999159548,95.58079668543044,7914.392919918006,-59.17744253906887,135754.78216345742,37,45.51256588734137,34.419196059500926,11.230571539488661,Cylindrical,point load,Moderate,Short,Excellent,High,Shark Optimizer,924,132.38295848454538
Carbon Fiber,75.51484945659993,0.33405857566920594,3363.1487120786687,1194.0493461586047,56.330741869416094,6045.464723982278,-53.59800941435614,147713.74795957396,24,34.603685279744354,66.9263574944235,8.986823689904723,Cylindrical,distributed,Moderate,Medium,Excellent,Low,Shark Optimizer,1881,82.44187083874371
Aluminum,94.56556089203033,0.32471489572568857,1584.5843655427811,331.82785276571803,59.22638425632325,6882.740038603013,-50.04815261162904,187062.10894017783,37,21.855638741193207,45.08907489943889,10.654477149270479,Cylindrical,distributed,Low,Short,Excellent,Medium,Chaotic Quantum Genetic,660,142.44977118998773
Titanium,67.56157998854103,0.30783795527593555,1836.821865576465,877.5766596023909,56.6066820501142,6903.689512086867,-53.7507415039341,158602.44878113928,24,26.612918205950965,65.04635680736085,12.977760179877997,Tapered,uniform,Moderate,Long,Poor,High,Shark Optimizer,1203,70.64000738974406
Titanium,125.07938576615493,0.32189147886041664,2782.8714251932015,718.9670851660708,66.65101514102729,15294.060891879028,-51.23347730450811,144137.30534534185,26,42.700097820602636,55.98060292223079,14.705272243484217,Cylindrical,uniform,Moderate,Medium,Good,High,Chaotic Quantum Genetic,725,62.27031892039555
Titanium,171.80122164360668,0.3331430707404452,2251.918018777694,514.4999745149837,99.60466799554584,11283.724755384825,-56.66569701916052,154999.755319985,38,30.57953333704328,67.72994242837936,12.229155159854734,Cylindrical,uniform,Moderate,Short,Poor,Medium,Shark Optimizer,1032,134.07035448382464
Carbon Fiber,138.96799913988195,0.34049735313848034,2426.0133803637464,1118.382882280015,92.57949161144754,10483.325884279644,-40.03928514984504,127953.53212084374,23,46.959535447461285,49.84862549141527,10.171385333543206,Tapered,point load,Moderate,Medium,Good,Medium,Chaotic Quantum Genetic,1115,51.89795087302753
Titanium,170.82449016726224,0.31942975170320026,3193.2421121115203,721.1988787181929,79.81817304673737,16097.863768073987,-50.58823880556335,184786.23605019,33,24.569823534818287,59.82052256629467,8.35684247123519,Tapered,distributed,High,Long,Excellent,Low,Shark Optimizer,1428,119.59362289246151
Titanium,93.72792302224357,0.3396116047649838,3275.5856375930666,412.69901706851135,60.26073064232294,14552.069800588883,-43.26346955265798,182321.9884871071,36,52.05321058489518,47.352347342645345,10.791958622189856,Tapered,point load,Moderate,Medium,Excellent,Medium,Shark Optimizer,620,132.8946773365208
Titanium,128.338591606834,0.318390204537693,4156.482730017622,733.4835579355744,92.0218058131863,19935.24077476948,-56.850923338378564,192002.143145962,38,45.89018799666829,66.46359221326031,14.152896210103163,Cylindrical,uniform,Low,Long,Good,High,Shark Optimizer,1148,132.33449945744422
Aluminum,73.8090149565966,0.3408177430826213,2448.5769128868724,1396.0152771077885,64.95695257697055,6579.9292426561415,-59.621153861919844,158525.7366886848,25,23.997234466418927,47.124959238216064,14.003469289536568,Rectangular,uniform,Low,Short,Excellent,High,Shark Optimizer,626,139.9244882646708
Titanium,73.32930465871681,0.34272745401880583,2534.934963035566,490.3231064566148,50.75393812627439,5778.830183082483,-50.97413969615735,194582.21302045288,37,55.060416445991535,42.87058833575507,6.5783400656322275,Tapered,distributed,Moderate,Long,Good,High,Shark Optimizer,1056,64.88532297441647
Titanium,180.09620133045038,0.3243864678621922,2369.803768005643,889.3929429389649,54.03987066866878,13138.41567489173,-52.05198449209837,103293.43451524385,32,38.81194007351337,32.069989399260486,6.648687829011585,Cylindrical,distributed,Low,Medium,Poor,Low,Chaotic Quantum Genetic,712,68.51025671837998
Titanium,101.07948481019235,0.33960313788297314,1889.8579051754625,1124.2988306453503,62.85349978189063,12309.01725714908,-45.96427553301792,105879.52201363584,39,25.72064433241934,49.41769584481503,5.5465256548168504,Cylindrical,point load,High,Medium,Good,High,Shark Optimizer,1283,137.07259263296592
Titanium,109.19277192955673,0.32794549413266527,3187.2397495107853,293.65021239896515,86.9663194111391,13603.171726785527,-45.672039740679665,128067.73578506942,25,23.567439045494115,54.148813489052024,13.120443138632027,Cylindrical,distributed,Low,Long,Poor,High,Shark Optimizer,523,113.42455169039488
Carbon Fiber,152.6696023504366,0.32952897873152875,2708.4365867001634,737.8015144790563,89.89940486560965,17775.09829661627,-47.309929390925745,141917.39504487993,31,58.0582076477414,33.70070914398852,13.023187220065957,Rectangular,distributed,High,Medium,Excellent,Medium,Chaotic Quantum Genetic,914,58.620883204954865
Carbon Fiber,112.00881959133545,0.31865886549879124,2755.436104319301,827.4034301694264,89.74930422558322,14838.05760832567,-45.552019841846985,112338.63643995016,33,53.93675126274105,42.137620790526654,9.703516423209647,Cylindrical,uniform,Low,Medium,Poor,Medium,Chaotic Quantum Genetic,1197,92.89287075409526
Carbon Fiber,60.70789009281995,0.31567797098301037,3374.3329592433865,1333.3458865405053,64.96536079423925,13371.680365898603,-49.542903560932444,132120.00267518786,38,55.64041576527538,61.11139741954567,14.891479885329671,Cylindrical,uniform,High,Long,Poor,High,Shark Optimizer,1056,52.03076503170191
Carbon Fiber,152.78095182641238,0.3435710779182959,3245.7268453799197,330.6063540016541,83.98137964973716,17329.41791403921,-48.83775942445844,167410.03330741858,39,54.5044189573799,31.28338014760349,12.213018309392393,Rectangular,distributed,Low,Medium,Poor,High,Shark Optimizer,548,85.3271833848091
Titanium,71.82378604002112,0.3229463423087163,4262.4569636484375,751.3346948437769,74.09468183540808,6359.634529770067,-52.93897848034652,113917.69690990448,39,26.355100760186616,36.62370911418838,5.779340000642436,Rectangular,point load,Moderate,Short,Excellent,High,Shark Optimizer,892,79.46087045377946
Titanium,112.88745859776303,0.3380030989324535,2353.831236769237,609.6598578681815,87.84470151574206,17566.83131929546,-56.98103002033637,190363.484531281,33,22.162191679365996,59.27997176763812,13.54248522244884,Cylindrical,uniform,Low,Long,Good,High,Shark Optimizer,1212,124.75508064914825
Carbon Fiber,67.78219734186854,0.33265422145285306,2725.360533071691,1205.3204072061385,66.84198968265436,10805.422987986924,-52.72093138532442,187830.11061932036,24,44.96523857887968,68.68944500566197,12.849360176457019,Cylindrical,distributed,High,Long,Good,Medium,Chaotic Quantum Genetic,1754,59.38920611494613
Aluminum,199.78606273674143,0.307865367238671,4304.972831494888,564.5985806335037,54.5733096092584,15720.149500251373,-58.189778883064335,132944.42555412892,20,41.87944215333776,68.82410015827699,8.7020863196409,Rectangular,point load,Moderate,Long,Excellent,Medium,Chaotic Quantum Genetic,1674,56.20041624840617
Titanium,99.9159121694745,0.3215679473316001,3104.8504860547678,1404.2009528252047,99.53492609965339,16797.347420211536,-58.58934051995491,109472.15555236513,34,43.1196462990673,50.650836421485664,11.05158755097041,Rectangular,point load,Low,Short,Excellent,Medium,Shark Optimizer,1563,79.19727407478022
